PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
MjM0y,1r5k/3nNpp1/pp1P3p/2pn4/P1P2P2/1Pq2QPP/8/R3R1K1 w - - 2 32,e7d5 c3f3 e1e3 f3h5,1654,77,93,6693,advantage hangingPiece master middlegame short,https://lichess.org/dOmg41bl#63,
RVrHz,5rk1/5ppp/p3pn2/2Npq3/8/3B2Pb/Pr3P1P/R2QR1K1 b - - 3 24,e5d4 d3h7 f6h7 d1d4,1154,93,94,79,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/yGJjMS3V/black#48,
vFq7d,8/5pk1/4b1p1/2pN4/4P1P1/7P/1r4K1/5R2 w - - 1 38,f1f2 b2f2 g2f2 e6d5 e4d5 g6g5 f2e3 g7f6 e3e4 f6e7 h3h4 g5h4,2482,88,76,55,crushing endgame master quietMove veryLong,https://lichess.org/e62uZCnL#75,
txZUz,1k6/6pp/2p5/1p6/2rNp3/4K3/6PP/1R6 b - - 1 26,b5b4 b1b4 c4b4 d4c6 b8b7 c6b4,1373,83,91,2310,attraction crushing deflection endgame exposedKing fork long sacrifice,https://lichess.org/cO4tsHZt/black#52,
JamiH,1r4k1/pq2ppbp/6p1/3Q1b2/8/2r1BP2/PP1R2PP/2K2B1R w - - 0 18,b2c3 b7b1,562,84,69,193,mate mateIn1 middlegame oneMove,https://lichess.org/DOWS3sjY#35,Sicilian_Defense Sicilian_Defense_Closed
aKebA,q4rk1/1b4pp/p2P1p2/n1P1p3/ppN4Q/2n1B3/P4PPP/R4R1K w - - 2 24,c4a5 b7g2 h1g1 c3e2,1451,75,94,5111,fork master mate mateIn2 middlegame short,https://lichess.org/COBBQA4F#47,
98a9s,r3r1k1/pp2bppp/5n2/2Bp1N2/8/2q2QN1/P4PPP/R3R1K1 b - - 0 19,c3f3 f5e7 e8e7 g2f3,1726,75,93,1914,advantage intermezzo middlegame short,https://lichess.org/85mvJr3z/black#38,Russian_Game Russian_Game_French_Attack
pr45F,2kr1b1r/ppp2pp1/2np3p/q7/8/1RPQBN2/2PK1PPP/1R6 b - - 5 18,c6e5 d3f5 d8d7 b3b7,1923,75,92,3868,crushing middlegame short,https://lichess.org/qMi1isyH/black#36,Russian_Game Russian_Game_Cozio_Attack
34u5J,7k/p5p1/3P3p/8/4Qp2/2P3rP/PP3qPK/6R1 w - - 1 34,d6d7 g3h3 h2h3 f2g3,1525,75,95,5980,attraction endgame mate mateIn2 pin sacrifice short,https://lichess.org/nKPjBqtx#67,
lFZ9T,8/3k4/6p1/1p2Pp1p/1P2P2P/4K3/8/8 b - - 2 62,d7e6 e3f4 f5e4 f4e4,1739,79,83,99,crushing endgame pawnEndgame short zugzwang,https://lichess.org/3xmxbERy/black#124,
